Time[s],CH1[V],CH2[V],
-2.2400003e-05,3.24000e+00,3.28000e+00,
-2.2000004e-05,3.24000e+00,3.24000e+00,
-2.1600004e-05,3.24000e+00,3.28000e+00,
-2.1200005e-05,3.28000e+00,3.24000e+00,
-2.0800006e-05,3.24000e+00,3.24000e+00,
-2.0400006e-05,3.28000e+00,3.28000e+00,
-2.0000007e-05,3.24000e+00,3.24000e+00,
-1.9600007e-05,3.24000e+00,3.28000e+00,
-1.9200008e-05,3.24000e+00,3.28000e+00,
-1.8800009e-05,3.24000e+00,3.24000e+00,
-1.8400009e-05,3.24000e+00,3.24000e+00,
-1.8000010e-05,3.24000e+00,3.28000e+00,
-1.7600010e-05,3.24000e+00,3.24000e+00,
-1.7200011e-05,3.24000e+00,3.28000e+00,
-1.6800012e-05,3.24000e+00,3.28000e+00,
-1.6400012e-05,3.28000e+00,3.24000e+00,
-1.6000013e-05,3.24000e+00,3.24000e+00,
-1.5600013e-05,3.28000e+00,3.28000e+00,
-1.5200013e-05,3.28000e+00,3.24000e+00,
-1.4800013e-05,3.24000e+00,3.28000e+00,
-1.4400012e-05,3.24000e+00,3.24000e+00,
-1.4000012e-05,3.24000e+00,3.28000e+00,
-1.3600012e-05,3.24000e+00,3.28000e+00,
-1.3200011e-05,3.24000e+00,3.20000e+00,
-1.2800011e-05,3.24000e+00,3.24000e+00,
-1.2400011e-05,3.24000e+00,3.28000e+00,
-1.2000010e-05,3.24000e+00,3.24000e+00,
-1.1600010e-05,3.28000e+00,3.28000e+00,
-1.1200010e-05,3.24000e+00,3.24000e+00,
-1.0800009e-05,3.28000e+00,3.28000e+00,
-1.0400009e-05,3.24000e+00,3.28000e+00,
-1.0000009e-05,3.28000e+00,3.24000e+00,
-9.6000085e-06,3.24000e+00,3.28000e+00,
-9.2000082e-06,3.28000e+00,3.24000e+00,
-8.8000079e-06,3.28000e+00,3.28000e+00,
-8.4000076e-06,3.24000e+00,3.24000e+00,
-8.0000073e-06,3.24000e+00,3.28000e+00,
-7.6000074e-06,3.24000e+00,3.24000e+00,
-7.2000075e-06,3.28000e+00,3.28000e+00,
-6.8000077e-06,3.24000e+00,3.24000e+00,
-6.4000078e-06,3.24000e+00,3.28000e+00,
-6.0000079e-06,3.28000e+00,3.24000e+00,
-5.6000081e-06,3.24000e+00,3.28000e+00,
-5.2000082e-06,3.28000e+00,3.24000e+00,
-4.8000084e-06,3.24000e+00,3.20000e+00,
-4.4000085e-06,3.28000e+00,3.28000e+00,
-4.0000086e-06,3.24000e+00,3.28000e+00,
-3.6000085e-06,3.28000e+00,3.24000e+00,
-3.2000085e-06,3.24000e+00,3.24000e+00,
-2.8000084e-06,3.28000e+00,3.28000e+00,
-2.4000083e-06,3.28000e+00,3.28000e+00,
-2.0000082e-06,3.24000e+00,3.24000e+00,
-1.6000082e-06,3.24000e+00,3.28000e+00,
-1.2000082e-06,3.24000e+00,3.24000e+00,
-8.0000825e-07,3.28000e+00,3.24000e+00,
-4.0000825e-07,3.24000e+00,3.28000e+00,
-8.2422957e-12,3.24000e+00,3.28000e+00,
3.9999176e-07,-2.00000e-01,2.88000e+00,
7.9999177e-07,-7.99999e-02,3.16000e+00,
1.1999917e-06,-7.99999e-02,3.24000e+00,
1.5999917e-06,-7.99999e-02,3.28000e+00,
1.9999918e-06,-7.99999e-02,3.24000e+00,
2.3999919e-06,-7.99999e-02,3.28000e+00,
2.7999920e-06,1.20001e-01,-7.20000e-01,
3.1999921e-06,-7.99999e-02,-1.20000e-01,
3.5999922e-06,4.80000e-01,-7.99999e-02,
3.9999923e-06,1.20000e+00,-1.20000e-01,
4.3999921e-06,3.12000e+00,-7.99999e-02,
4.7999920e-06,3.16000e+00,-7.99999e-02,
5.1999918e-06,3.28000e+00,-0.00000e+00,
5.5999917e-06,3.28000e+00,-7.99999e-02,
5.9999916e-06,3.32000e+00,-7.99999e-02,
6.3999914e-06,3.28000e+00,-7.99999e-02,
6.7999913e-06,3.28000e+00,-0.00000e+00,
7.1999912e-06,3.28000e+00,-7.99999e-02,
7.5999910e-06,3.44000e+00,1.92000e+00,
7.9999909e-06,3.48000e+00,2.32000e+00,
8.3999912e-06,3.32000e+00,3.20000e+00,
8.7999915e-06,3.32000e+00,3.20000e+00,
9.1999918e-06,3.28000e+00,3.32000e+00,
9.5999922e-06,3.28000e+00,3.28000e+00,
9.9999925e-06,3.24000e+00,3.32000e+00,
1.0399993e-05,3.28000e+00,3.32000e+00,
1.0799993e-05,3.24000e+00,3.24000e+00,
1.1199993e-05,3.28000e+00,3.28000e+00,
1.1599994e-05,3.24000e+00,3.32000e+00,
1.1999994e-05,3.28000e+00,3.28000e+00,
1.2399994e-05,3.24000e+00,3.24000e+00,
1.2799995e-05,3.28000e+00,3.28000e+00,
1.3199995e-05,2.88000e+00,-1.20000e-01,
1.3599995e-05,3.24000e+00,-1.20000e-01,
1.3999996e-05,-1.20000e-01,7.99999e-02,
1.4399996e-05,-1.20000e-01,-7.99999e-02,
1.4799996e-05,-7.99999e-02,-7.99999e-02,
1.5199997e-05,-1.20000e-01,-0.00000e+00,
1.5599997e-05,-7.99999e-02,-7.99999e-02,
1.5999996e-05,-7.99999e-02,-0.00000e+00,
1.6399996e-05,-7.99999e-02,-7.99999e-02,
1.6799995e-05,-4.00000e-02,-0.00000e+00,
1.7199995e-05,-7.99999e-02,-7.99999e-02,
1.7599994e-05,-7.99999e-02,-7.99999e-02,
1.7999993e-05,-4.00000e-02,2.12000e+00,
1.8399993e-05,-4.00000e-02,2.48000e+00,
1.8799992e-05,-7.99999e-02,3.20000e+00,
1.9199992e-05,-4.00000e-02,3.24000e+00,
1.9599991e-05,-7.99999e-02,3.32000e+00,
1.9999990e-05,-4.00000e-02,3.28000e+00,
2.0399990e-05,-4.00000e-02,3.32000e+00,
2.0799989e-05,-4.00000e-02,3.28000e+00,
2.1199989e-05,-7.99999e-02,3.28000e+00,
2.1599988e-05,-4.00000e-02,3.28000e+00,
2.1999987e-05,-4.00000e-02,3.32000e+00,
2.2399987e-05,-7.99999e-02,3.28000e+00,
2.2799986e-05,-0.00000e+00,3.28000e+00,
2.3199986e-05,-4.00000e-02,3.28000e+00,
2.3599985e-05,1.20001e-01,-7.60000e-01,
2.3999984e-05,-4.00000e-02,-7.99999e-02,
2.4399984e-05,-4.00000e-02,-7.99999e-02,
2.4799983e-05,-4.00000e-02,-7.99999e-02,
2.5199983e-05,-4.00000e-02,-7.99999e-02,
2.5599982e-05,-4.00000e-02,-0.00000e+00,
2.5999982e-05,-4.00000e-02,-7.99999e-02,
2.6399981e-05,-4.00000e-02,-7.99999e-02,
2.6799980e-05,-4.00000e-02,-0.00000e+00,
2.7199980e-05,-4.00000e-02,-7.99999e-02,
2.7599979e-05,-4.00000e-02,-0.00000e+00,
2.7999979e-05,-4.00000e-02,-7.99999e-02,
2.8399978e-05,-0.00000e+00,2.28000e+00,
2.8799977e-05,-4.00000e-02,2.60000e+00,
2.9199977e-05,-0.00000e+00,3.24000e+00,
2.9599976e-05,-4.00000e-02,3.28000e+00,
2.9999976e-05,-4.00000e-02,3.32000e+00,
3.0399975e-05,-4.00000e-02,3.32000e+00,
3.0799976e-05,-4.00000e-02,3.28000e+00,
3.1199976e-05,-4.00000e-02,3.28000e+00,
3.1599975e-05,-4.00000e-02,3.32000e+00,
3.1999974e-05,-4.00000e-02,3.28000e+00,
3.2399974e-05,-4.00000e-02,3.28000e+00,
3.2799973e-05,-4.00000e-02,3.32000e+00,
3.3199973e-05,-4.00000e-02,3.28000e+00,
3.3599972e-05,-4.00000e-02,3.28000e+00,
3.3999971e-05,-0.00000e+00,-7.99999e-02,
3.4399971e-05,-4.00000e-02,-7.99999e-02,
3.4799970e-05,-4.00000e-02,-7.99999e-02,
3.5199970e-05,-4.00000e-02,-7.99999e-02,
3.5599969e-05,-4.00000e-02,-7.99999e-02,
3.5999969e-05,-4.00000e-02,-7.99999e-02,
3.6399968e-05,-4.00000e-02,-0.00000e+00,
3.6799967e-05,-4.00000e-02,-0.00000e+00,
3.7199967e-05,-4.00000e-02,-7.99999e-02,
3.7599966e-05,-4.00000e-02,-7.99999e-02,
3.7999966e-05,-4.00000e-02,-0.00000e+00,
3.8399965e-05,-0.00000e+00,-0.00000e+00,
3.8799964e-05,-4.00000e-02,2.44000e+00,
3.9199964e-05,-0.00000e+00,2.68000e+00,
3.9599963e-05,-4.00000e-02,3.24000e+00,
3.9999963e-05,-4.00000e-02,3.24000e+00,
4.0399962e-05,-0.00000e+00,3.32000e+00,
4.0799961e-05,-4.00000e-02,3.28000e+00,
4.1199961e-05,-0.00000e+00,3.32000e+00,
4.1599960e-05,-4.00000e-02,3.28000e+00,
4.1999960e-05,-0.00000e+00,3.32000e+00,
4.2399959e-05,-4.00000e-02,3.28000e+00,
4.2799958e-05,-0.00000e+00,3.32000e+00,
4.3199958e-05,-4.00000e-02,3.28000e+00,
4.3599957e-05,-4.00000e-02,3.28000e+00,
4.3999957e-05,1.20001e-01,-6.80000e-01,
4.4399956e-05,-4.00000e-02,-7.99999e-02,
4.4799956e-05,-4.00000e-02,-1.20000e-01,
4.5199955e-05,1.76000e+00,-7.99999e-02,
4.5599954e-05,2.20000e+00,-7.99999e-02,
4.5999954e-05,3.20000e+00,-7.99999e-02,
4.6399953e-05,3.24000e+00,-0.00000e+00,
4.6799953e-05,3.32000e+00,-7.99999e-02,
4.7199952e-05,3.28000e+00,-7.99999e-02,
4.7599951e-05,3.32000e+00,-0.00000e+00,
4.7999951e-05,3.28000e+00,-7.99999e-02,
4.8399950e-05,3.32000e+00,-0.00000e+00,
4.8799950e-05,3.28000e+00,-7.99999e-02,
4.9199949e-05,3.48000e+00,2.56000e+00,
4.9599948e-05,3.40000e+00,2.76000e+00,
4.9999948e-05,3.32000e+00,3.24000e+00,
5.0399947e-05,3.32000e+00,3.28000e+00,
5.0799947e-05,3.28000e+00,3.32000e+00,
5.1199946e-05,3.28000e+00,3.28000e+00,
5.1599945e-05,3.32000e+00,3.32000e+00,
5.1999945e-05,3.24000e+00,3.28000e+00,
5.2399944e-05,3.28000e+00,3.32000e+00,
5.2799944e-05,3.28000e+00,3.28000e+00,
5.3199943e-05,3.24000e+00,3.32000e+00,
5.3599942e-05,3.28000e+00,3.28000e+00,
5.3999942e-05,3.24000e+00,3.28000e+00,
5.4399941e-05,2.84000e+00,-1.20000e-01,
5.4799941e-05,3.24000e+00,-7.99999e-02,
5.5199940e-05,3.28000e+00,-7.99999e-02,
5.5599940e-05,-1.20000e-01,7.99999e-02,
5.5999939e-05,-1.20000e-01,-7.99999e-02,
5.6399938e-05,-7.99999e-02,-7.99999e-02,
5.6799938e-05,-7.99999e-02,-7.99999e-02,
5.7199937e-05,-7.99999e-02,-0.00000e+00,
5.7599937e-05,-7.99999e-02,-7.99999e-02,
5.7999936e-05,-4.00000e-02,-0.00000e+00,
5.8399935e-05,-4.00000e-02,-0.00000e+00,
5.8799935e-05,-7.99999e-02,-0.00000e+00,
5.9199934e-05,-4.00000e-02,-7.99999e-02,
5.9599934e-05,-4.00000e-02,2.44000e+00,
5.9999933e-05,-4.00000e-02,2.68000e+00,
6.0399932e-05,-4.00000e-02,3.24000e+00,
6.0799932e-05,-4.00000e-02,3.24000e+00,
6.1199935e-05,-4.00000e-02,3.32000e+00,
6.1599938e-05,-7.99999e-02,3.32000e+00,
6.1999941e-05,-4.00000e-02,3.28000e+00,
6.2399944e-05,-4.00000e-02,3.32000e+00,
6.2799947e-05,-4.00000e-02,3.28000e+00,
6.3199950e-05,-4.00000e-02,3.32000e+00,
6.3599953e-05,-4.00000e-02,3.24000e+00,
6.3999956e-05,-4.00000e-02,3.28000e+00,
6.4399959e-05,-0.00000e+00,3.28000e+00,
6.4799962e-05,1.60001e-01,-6.80000e-01,
6.5199965e-05,-4.00000e-02,-7.99999e-02,
6.5599968e-05,-4.00000e-02,-7.99999e-02,
6.5999971e-05,-4.00000e-02,-7.99999e-02,
6.6399974e-05,-4.00000e-02,-7.99999e-02,
6.6799978e-05,-0.00000e+00,-7.99999e-02,
6.7199981e-05,-4.00000e-02,-7.99999e-02,
6.7599984e-05,-4.00000e-02,-0.00000e+00,
6.7999987e-05,-4.00000e-02,-7.99999e-02,
6.8399990e-05,-4.00000e-02,-0.00000e+00,
6.8799993e-05,-4.00000e-02,-7.99999e-02,
6.9199996e-05,-4.00000e-02,-0.00000e+00,
6.9599999e-05,-4.00000e-02,-7.99999e-02,
7.0000002e-05,-0.00000e+00,2.60000e+00,
7.0400005e-05,-4.00000e-02,2.76000e+00,
7.0800008e-05,-4.00000e-02,3.24000e+00,
7.1200011e-05,-4.00000e-02,3.28000e+00,
7.1600014e-05,-4.00000e-02,3.32000e+00,
7.2000017e-05,-4.00000e-02,3.28000e+00,
7.2400020e-05,-4.00000e-02,3.32000e+00,
7.2800023e-05,-4.00000e-02,3.28000e+00,
7.3200026e-05,-4.00000e-02,3.32000e+00,
7.3600029e-05,-0.00000e+00,3.28000e+00,
7.4000032e-05,-4.00000e-02,3.32000e+00,
7.4400035e-05,-4.00000e-02,3.28000e+00,
7.4800038e-05,-0.00000e+00,3.32000e+00,
7.5200041e-05,-0.00000e+00,-7.99999e-02,
7.5600045e-05,-4.00000e-02,-1.20000e-01,
7.6000048e-05,-4.00000e-02,-7.99999e-02,
7.6400051e-05,-4.00000e-02,-7.99999e-02,
7.6800054e-05,-4.00000e-02,-7.99999e-02,
7.7200057e-05,-4.00000e-02,-0.00000e+00,
7.7600060e-05,-4.00000e-02,-7.99999e-02,
7.8000063e-05,-4.00000e-02,-7.99999e-02,
7.8400066e-05,-4.00000e-02,-7.99999e-02,
7.8800069e-05,-4.00000e-02,-0.00000e+00,
7.9200072e-05,-4.00000e-02,-0.00000e+00,
7.9600075e-05,-4.00000e-02,-7.99999e-02,
8.0000078e-05,-4.00000e-02,-7.99999e-02,
8.0400081e-05,-0.00000e+00,2.68000e+00,
8.0800084e-05,-4.00000e-02,2.84000e+00,
8.1200087e-05,-4.00000e-02,3.24000e+00,
8.1600090e-05,-4.00000e-02,3.28000e+00,
8.2000093e-05,-4.00000e-02,3.32000e+00,
8.2400096e-05,-4.00000e-02,3.28000e+00,
8.2800099e-05,-0.00000e+00,3.32000e+00,
8.3200102e-05,-4.00000e-02,3.28000e+00,
8.3600105e-05,-4.00000e-02,3.32000e+00,
8.4000108e-05,-4.00000e-02,3.28000e+00,
8.4400112e-05,-0.00000e+00,3.32000e+00,
8.4800115e-05,-4.00000e-02,3.32000e+00,
8.5200118e-05,1.60001e-01,-6.80000e-01,
8.5600121e-05,-4.00000e-02,-7.99999e-02,
8.6000124e-05,-4.00000e-02,-7.99999e-02,
8.6400127e-05,-4.00000e-02,-7.99999e-02,
8.6800130e-05,-0.00000e+00,-0.00000e+00,
8.7200133e-05,-0.00000e+00,-7.99999e-02,
8.7600136e-05,-4.00000e-02,-0.00000e+00,
8.8000139e-05,-4.00000e-02,-7.99999e-02,
8.8400142e-05,-0.00000e+00,-0.00000e+00,
8.8800145e-05,-4.00000e-02,-0.00000e+00,
8.9200148e-05,-0.00000e+00,-7.99999e-02,
8.9600151e-05,-0.00000e+00,-0.00000e+00,
9.0000154e-05,-4.00000e-02,-7.99999e-02,
9.0400157e-05,-4.00000e-02,-7.99999e-02,
9.0800160e-05,-0.00000e+00,2.80000e+00,
9.1200163e-05,-0.00000e+00,2.92000e+00,
9.1600166e-05,-0.00000e+00,3.28000e+00,
9.2000169e-05,-0.00000e+00,3.28000e+00,
9.2400172e-05,-4.00000e-02,3.32000e+00,
9.2800175e-05,-0.00000e+00,3.32000e+00,
9.3200179e-05,-4.00000e-02,3.28000e+00,
9.3600182e-05,-0.00000e+00,3.32000e+00,
9.4000185e-05,-0.00000e+00,3.28000e+00,
9.4400188e-05,-4.00000e-02,3.28000e+00,
