Time [s],CH1[V],
-9.9999947e-05,3.24000e+00,
-9.7999946e-05,3.32000e+00,
-9.5999945e-05,3.28000e+00,
-9.3999945e-05,3.24000e+00,
-9.1999944e-05,3.28000e+00,
-8.9999943e-05,3.24000e+00,
-8.7999942e-05,3.28000e+00,
-8.5999942e-05,3.28000e+00,
-8.3999941e-05,3.24000e+00,
-8.1999940e-05,3.28000e+00,
-7.9999940e-05,3.28000e+00,
-7.7999939e-05,3.28000e+00,
-7.5999938e-05,3.32000e+00,
-7.3999938e-05,3.24000e+00,
-7.1999937e-05,3.28000e+00,
-6.9999936e-05,3.24000e+00,
-6.7999936e-05,3.24000e+00,
-6.5999935e-05,3.32000e+00,
-6.3999934e-05,3.28000e+00,
-6.1999934e-05,3.24000e+00,
-5.9999933e-05,3.24000e+00,
-5.7999932e-05,3.32000e+00,
-5.5999932e-05,3.28000e+00,
-5.3999931e-05,3.24000e+00,
-5.1999930e-05,3.28000e+00,
-4.9999930e-05,3.24000e+00,
-4.7999929e-05,3.28000e+00,
-4.5999928e-05,3.24000e+00,
-4.3999928e-05,3.28000e+00,
-4.1999927e-05,3.28000e+00,
-3.9999926e-05,3.28000e+00,
-3.7999926e-05,3.28000e+00,
-3.5999925e-05,3.28000e+00,
-3.3999924e-05,3.24000e+00,
-3.1999924e-05,3.28000e+00,
-2.9999923e-05,3.24000e+00,
-2.7999922e-05,3.28000e+00,
-2.5999921e-05,3.28000e+00,
-2.3999921e-05,3.28000e+00,
-2.1999920e-05,3.28000e+00,
-1.9999919e-05,3.28000e+00,
-1.7999919e-05,3.28000e+00,
-1.5999918e-05,3.28000e+00,
-1.3999918e-05,3.24000e+00,
-1.1999919e-05,3.28000e+00,
-9.9999188e-06,3.24000e+00,
-7.9999190e-06,3.24000e+00,
-5.9999193e-06,3.28000e+00,
-3.9999195e-06,3.24000e+00,
-1.9999195e-06,3.28000e+00,
8.0490281e-11,3.24000e+00,
2.0000805e-06,-7.99999e-02,
4.0000805e-06,-0.00000e+00,
6.0000802e-06,-0.00000e+00,
8.0000800e-06,-0.00000e+00,
1.0000080e-05,-0.00000e+00,
1.2000080e-05,4.00000e-02,
1.4000079e-05,-0.00000e+00,
1.6000080e-05,-0.00000e+00,
1.8000081e-05,4.00000e-02,
2.0000081e-05,-0.00000e+00,
2.2000082e-05,4.00000e-02,
2.4000083e-05,-0.00000e+00,
2.6000083e-05,4.00000e-02,
2.8000084e-05,-0.00000e+00,
3.0000085e-05,4.00000e-02,
3.2000084e-05,4.00000e-02,
3.4000084e-05,-0.00000e+00,
3.6000085e-05,-0.00000e+00,
3.8000086e-05,4.00000e-02,
4.0000086e-05,-0.00000e+00,
4.2000087e-05,4.00000e-02,
4.4000088e-05,-0.00000e+00,
4.6000088e-05,4.00000e-02,
4.8000089e-05,-0.00000e+00,
5.0000090e-05,4.00000e-02,
5.2000090e-05,4.00000e-02,
5.4000091e-05,-0.00000e+00,
5.6000092e-05,-0.00000e+00,
5.8000092e-05,4.00000e-02,
6.0000093e-05,-0.00000e+00,
6.2000094e-05,4.00000e-02,
6.4000094e-05,4.00000e-02,
6.6000095e-05,-0.00000e+00,
6.8000096e-05,-0.00000e+00,
7.0000096e-05,4.00000e-02,
